Bolitoglossa huehuetenanguensis
Bolitoglossa ninadormida
Bolitoglossa nussbaumi
Bolitoglossa tzultacaj
Rhamdia reddelli
Carpinus hebestroma
Carpinus tientaiensis
Alnus henryi
Eleutherodactylus aporostegus
Eleutherodactylus bothroboans
Eleutherodactylus limbensis
Eleutherodactylus rucillensis
Pseudophilotes sinaicus
Polyommatus bollandi
Coregonus vessicus
Bulbostylis fusiformis
Commelina mwatayamvoana
Gutenbergia pubescens
Silene cobalticola
Wahlenbergia malaissei
Megophrys sangzhiensis
Gonatorhaphe lauensis
Omphalotropis ingens
Placostylus mbengensis
Priceconcha tuvuthaensis
Trochomorpha moalensis
Trochomorpha tuvuthae
Dypsis metallica
Dypsis leptocheilos
Tahina spectabilis
Dypsis rakotonasoloi
Dypsis jeremiei
Dypsis digitata
Dypsis trapezoidea
Dypsis tokoravina
Dypsis sancta
Dypsis dracaenoides
Ravenea delicatula
Dypsis carlsmithii
Dypsis mahia
Ravenea hypoleuca
Dypsis pulchella
Dypsis ramentacea
Dypsis beentjei
Dypsis reflexa
Dypsis brevicaulis
Ravenea beentjei
Dypsis elegans
Dypsis laevis
Dypsis lanuginosa
Dypsis tanalensis
Dypsis pervillei
Dypsis andilamenensis
Dypsis caudata
Dypsis brittiana
Dypsis remotiflora
Dypsis vonitrandambo
Dypsis pumila
Dypsis sanctaemariae
Dypsis cookei
Dypsis scandens
Dypsis gronophyllum
Dypsis humilis
Dypsis anjae
Idioctis intertidalis
Conothele truncicola
Nesiergus gardineri
Nesiergus halophilus
Paccius quadridentatus
Apolania segmentata
Microdrassus inaudax
Euso muehlenbergi
Farqua quadrimaculata
Gamasomorpha austera
Ischnothyrella jivani
Lionneta gerlachi
Opopaea probosciella
Opopaea suspecta
Orchestina maureen
Hybosida dauban
Hybosida lucida
Steriphopus lacertosus
Spermophorides lascars
Prodidomus stella
Hasarius mahensis
Patu silho
Seychellia lodoiceae
Akihito futuna
Parioglossus galzini
Stiphodon discotorquatus
Stiphodon rubromaculatus
Moneta coercervea
Sesato setosa
Andasta siltte
Zoma zoma
Voraptus tenellus
Afrogarypus seychellesensis
Emoia slevini
Leiolopisma alazon
Mahezomus apicoporus
Rhodacmea filosa
Mecistocephalus sechellarum
Mecistocephalus cyclops
Ityphilus melanostigmus
Diglossosternoides curiosus
Ariadna ustulata
Galaxias anomalus
Galaxias cobitinis
Galaxias eldoni
Galaxias gollumoides
Galaxias macronasus
Galaxias prognathus
Galaxias pullus
Neochanna heleios
Leptopalaemon glabrus
Sinodina acutipoda
Caridina yilong
Paratya norfolkensis
Sacalia quadriocellata
Lancaris kumariae
Palaemonetes mesopotamicus
Macrobrachium purpureamanus
