Callicebus barbarabrownae
Cebus kaapori
Metrosideros rotundifolia
Metrosideros cherrieri
Polyosma subintegrifolia
Metrosideros whitakeri
Cinclodes palliatus
Dendrobium moiorum
Labramia ambondrombeensis
Englerodendron libassum
Lagothrix flavicauda
Neurobasis anderssoni
Plecturocebus caquetensis
Oedipomidas oedipus
Saguinus bicolor
Ocotea truncata
Salvia lachnaioclada
Sapajus xanthosternos
Barbodes sirang
Barbodes lindog
Oberonia arunachalensis
Thyasira southwardae
Atelopus mindoensis
Lepidodactylus euaensis
Lepidodactylus flaviocularis
Lepidodactylus gardineri
Lepidodactylus oligoporus
Pavonia gerleniae
Pavonia cauliflora
Ocotea thinicola
Eugenia binata
Dendropanax geniculatus
Didymopanax racemiferus
Didymopanax grandigemmus
Hyptidendron roseum
Guatteria attenuata
Peltogyne lecointei
Monteverdia samydiformis
Campomanesia blanchetiana
Bastardiopsis grewiifolia
Ocotea duplocolorata
Banara trinitatis
Pavonia macrobracteolata
Styrax pauciflorus
Cryptocarya wiedensis
Apeiba trombetensis
Myrcia macrantha
Parvoscincus tikbalangi
Arachnothryx sousae
Coursetia robinioides
Dalea schiblii
Desmodium pseudoamplifolium
Eugenia balancanensis
Eugenia inconspicua
Eugenia matudae
Guettarda insularis
Inga appendiculata
Malpighia hintonii
Bunchosia breedlovei
Parathesis perpunctata
Coccoloba lindeniana
Omiltemia guerrerensis
Sloanea veracruzana
Margaritaria hispidula
Grewia chalybaea
Dombeya halapo
Dombeya menalohensis
Mauloutchia annickiae
Hunga longifolia
Paragus thracusi
Goniurosaurus toyamai
Thryophilus nicefori
Thouinia leonis
Testudodiscula testudinalis
Macrocephalon maleo
Bryoria salazinica
Xylopia obtusifolia
Aralia duplex
Elaeocarpus gaussenii
Protosticta myristicaensis
Aralia rex
Magnolia orbiculata
Triangularis nuda
Clathrosepta becki
Margarites manusensis
Gigantidas vrijenhoeki
Lamellomphalus manusensis
Pyropelta yamato
Phymorhynchus oculatus
Adeuomphalus collinsi
Adeuomphalus elegans
Palicourea dunstervilleorum
Styrax hypochryseus
Oncidium alvarezii
Houlletia conspersa
Coryanthes vieirae
Anguloa dubia
Coryanthes toulemondiana
Epidendrum uribei
Cyrtochilum corniculatum
Polycycnis lehmannii
Acineta antioquiae
Coryanthes villegasiana
Lycomormium schmidtii
Polycycnis villegasiana
Cyrtochilum betancurii
Oncidium povedanum
Trevoria chloris
Stanhopea tolimensis
Peristeria cochlearis
Leucostethus bilsa
Atlantihyla melissa
Fucaria mystax
Zephyrarchaea robinsi
Bertmainius pandus
Pollanisus hyacinthus
Bertmainius colonus
Matthewsius rossi
Notonomus clivinoides
Aenigmatinea glatzella
Bertmainius monachus
Pygathrix nigripes
Maratus sarahae
Austrarchaea monteithi
Zephyrarchaea austini
Atelomastix tumula
Atelomastix poustiei
Austrarchaea mcguiganae
Balthasaria mannii
Erica thomensis
Kosciuscola sp. nov. 4 'K. cuneatus Bogong Clade'
Trachypithecus popa
Pseudohydrosme ebo
Lepilemur ahmansoni
Ara rubrogenys
Ara glaucogularis
Lurifax japonicus
Aglaia rubrivenia
Calophyllum piluliferum
Osmoxylon rectibrachiatum
Chisocheton stellatus
Rhampholeon chapmanorum
Scelotes inornatus
Pristimantis nangaritza
Abrahamia darainensis
Cryptocoryne loeiensis
Quadrella mirifica
Wettinia donosoensis
Pycnopodia helianthoides
Myrcia gaudichaudiana
Myrcia schottii
Cuminia eriantha
Cornutia obovata
Ocotea ikonyokpe
Licaria exserta
Licaria quirirafuina
Pleurothyrium arcuatum
Rhodostemonodaphne debilis
Mezilaurus thoroflora
Euphorbia amicorum
Diospyros olivieri
Diospyros taikintana
Diospyros tampolensis
Pachyptila macgillivrayi
Moluccella bucharica
Dendropsophus amicorum
Atelopus carbonerensis
Atelopus chrysocorallus
Atelopus cruciger
Atelopus mucubajiensis
Atelopus oxyrhynchus
Atelopus pinangoi
Atelopus sorianoi
Atelopus tamaense
Aromobates nocturnus
Prostherapis dunni
Aromobates leopardalis
Minyobates steyermarki
Mannophryne neblina
Aromobates alboguttatus
Aromobates duranti
Aromobates haydeeae
Aromobates meridensis
Aromobates molinarii
Aromobates orostoma
Aromobates serranus
Pristimantis anotis
Pristimantis stenodiscus
Pristimantis turumiquirensis
Leptodactylus magistris
Pristimantis kareliae
Pristimantis telefericus
Pristimantis thyellus
Allobates caribe
Mannophryne speeri
Aromobates cannatellai
Aromobates walterarpi
Aromobates zippeli
Pristimantis imthurni
Pristimantis jamescameroni
Pristimantis hoogmoedi
Pristimantis longicorpus
Leichhardtia goromotoorum
Pristimantis phoxocephalus
Dendropanax pachypedunculatus
Epigomphus brillantina
Tectaria vieillardii
Fernandoa lutea
Indotyphlops lazelli
Characidium onca
Dalbergia teijsmannii
Dalbergia ramosii
Dalbergia pinatubensis
Dalbergia obliquifoliolata
Dalbergia negrensis
Dalbergia matthewii
Dalbergia jaherii
Dalbergia grandistipula
Louteridium dendropilosum
Louteridium koelzii
Louteridium tamaulipense
Calliandra mayana
Dirachma somalensis
Euphorbia thulinii
Hildegardia gillettii
Sypheotides indicus
Parkia sherfeseei
Discospermum philippinensis
Discospermum reyesii
Rheinardia ocellata
Bolitoglossa centenorum
Nesospiza wilkinsi
Aneides caryaensis
Senegalia petrensis
Oreotrochilus cyanolaemus
Edwardsia ivelli
Crataegus harbisonii
Villaria uniflora
Curculio vibariae
Curculio quelparticola
Curculio hallasanensis
Polygraphus nobuchii
Teloschistes peruensis
Helianthus inexpectatus
Arenaria livermorensis
Abronia alpina
Isoetes junciformis
Isoetes viridimontana
Calochortus tiburonensis
Dudleya gnoma
Ivesia longibracteata
Afrothismia kupensis
Ardisia betongensis
Barringtonia khaoluangensis
Barringtonia thailandica
Syzygium lakshnakarae
Glochidion santisukii
Chionanthus eriorachis
Vidalasia murina
Psydrax calcicola
Polyosma adangensis
Madhuca chiangmaiensis
Madhuca smitinandii
Madhuca takensis
Gardenia truncata
Urophyllum talangense
Homalium peninsulare
Grewia hypotephra
Syzygium kerrii
Syzygium khaoyaiense
Inga lacustris
Brongniartia proteranthera
Conzattia chiapensis
Gliricidia robusta
Inga colimana
Lonchocarpus grandifoliolatus
Magnolia poqomchi
Magnolia kachinensis
Magnolia ottoi
Magnolia tribouillierana
Magnolia yajlachhi
Clermontia pallida
Humboldtia sanjappae
Julostylis ampumalensis
Syzygium periyarense
Melicope cornuta
Peperomia subpetiolata
Ranunculus hawaiensis
Stenogyne cranwelliae
Stenogyne kauaulaensis
Trichosteleum mastopomatoides
Lepidopilum wallisii
Sphagnum boyacanum
Sphagnum cleefii
Sphagnum diblastoides
Sphagnum santanderense
Sphagnum antioquiense
Bazzania denticulifera
Lejeunea inflexiloba
Cacatua citrinocristata
Vepris elegantissima
Psychotria retrorsipilis
Benstonea inquilina
Diplodiscus parviflorus
Hymenophyllum paniense
Miconia povedae
Vepris laurifolia
Melanochyla fasciculiflora
Cynometra longipedicellata
Tarenna bridsoniana
Vepris schliebenii
Spiranthera speciosa
Erisma arietinum
Senaea janeirensis
Kielmeyera rupestris
Acmanthera fernandesii
Algernonia dimitrii
Algernonia kuhlmannii
Mimosa acroconica
Acanthosyris paulo-alvinii
Williamodendron cinnamomeum
Lecythis schwackei
Lychnophora souzae
Simira grazielae
Paralychnophora atkinsiae
Kielmeyera sigillata
Eugenia vattimoana
Galipea carinata
Mollinedia eugeniifolia
Persea obovata
Couepia carautae
Vatica adenanii
Bouea poilanei
Fagraea umbelliflora
Metrosideros arfakensis
Syzygium carrii
Conophytum arthurolfago
Conophytum phoeniceum
Conophytum ratum
Conophytum regale
Conophytum subfenestratum
Conophytum subterraneum
Conophytum vanheerdei
Conophytum violaciflorum
Conophytum frutescens
Conophytum longibracteatum
Conophytum wettsteinii
Conophytum youngii
Conophytum turrigerum
Conophytum smorenskaduense
Conophytum smaleorum
Conophytum schlechteri
Conophytum pium
Conophytum mirabile
Conophytum khamiesbergense
Conophytum irmae
Conophytum francoiseae
Conophytum cubicum
Conophytum crateriforme
Conophytum confusum
Conophytum comptonii
Conophytum chrisolum
Conophytum chrisocruxum
Conophytum carpianum
Conophytum caroli
Conophytum burgeri
Conophytum bruynsii
Conophytum brunneum
Conophytum achabense
Conophytum acutum
Conophytum antonii
Conophytum bachelorum
Conophytum danielii
Conophytum globosum
Conophytum hanae
Conophytum hermarium
Conophytum hyracis
Conophytum roodiae
Conophytum velutinum
Conophytum buysianum
Conophytum bolusiae
Conophytum calculus
Conophytum ernstii
Xiurenbagrus dorsalis
Liobagrus styani
Liobagrus chenghaiensis
Sinogastromyzon dezeensis
Eurochelidon sirintarae
Neonauclea truncata
Saurauia alvarezii
Saurauia elmeri
Saurauia macgregorii
Saurauia oblancilimba
Saurauia sampad
Neo-uvaria viridifolia
Polyalthia gracilipes
Popowia lanceolata
Cryptocoryne tirtadinatae
Parabotia brevirostris
Protocobitis polylepis
Conophytum concavum
Acheilognathus brevicaudatus
Acheilognathus hypselonotus
Mustelus mento
Gallicolumba menagei
Magnolia clementinana
Magnolia sonlaensis
Loxodonta cyclotis
Gyps africanus
Conraua sagyimase
Joziratia desruisseauxi
Mayataia griveaudi
Gyps bengalensis
Gyps indicus
Gyps rueppelli
Eschweilera mexicana
Inga andersonii
Eugenia mozomboensis
Arachnothryx pauciflora
Arachnothryx tenorioi
Amphitecna fonceti
Gyps tenuirostris
Axinaea reginae
Axinaea flava
Axinaea carolina-telleziae
Meriania ninakurorum
Blakea nareliana
Necrosyrtes monachus
Sarcogyps calvus
Trigonoceps occipitalis
Eugenia letreroana
Eugenia verapazensis
Licaria siphonantha
Ocotea iridescens
Parathesis papillosa
Parathesis subcoriacea
Persea chrysantha
Stanmarkia medialis
Garcinia ramosii
Garcinia samarensis
Terminalia macrantha
Terminalia plagata
Litsea diospyrifolia
Litsea ilocana
Litsea perfulva
Astronia gitingensis
Beccarianthus octodontus
Memecylon elliptifolium
Ficus samarana
Myristica wenzelii
Syzygium brevipaniculatum
Glochidion cenabrei
Homalium palawanense
Colona megacarpa
Hildegardia merrittii
Sterculia mindorensis
Symplocos imperialis
Symplocos verticillifolia
Tapura ferreyrae
Cassipourea subcordata
Eugenia aboukirensis
Eugenia hanoverensis
Miconia proctorii
Miconia nubicola
Dendropanax cordifolius
Psychotria bryonicola
Psychotria hanoverensis
Ardisia byrsonimae
Presbytis percura
Kupea jonii
Nycticebus javanicus
Uvariodendron dzomboense
Phapitreron frontalis
Rinorea villiersii
Rinorea faurei
Orophea sichaikhanii
Alphonsea annulata
Kihansia lovettii
Lonchocarpus aequatorialis
Froesia venezuelensis
Citharexylum subthyrsoideum
Banksia verticillata
Caladenia attenuata
Caladenia luteola
Genoplesium insigne
Genoplesium littorale
Corybas sulcatus
Diuris flavescens
Prasophyllum bagoense
Prasophyllum innubum
Prasophyllum keltonii
Pterostylis oreophila
Pterostylis psammophilus
Rhizanthella johnstonii
Thelymitra adorata
Cyclura collei
Calochilus cupreus
Cleistanthus parvifolius
Cleistanthus major
Cleistanthus oblongatus
Paspalum lilloi
Craterispermum rumpianum
Ternstroemia cameroonensis
Glaucostegus obtusus
Vepris zapfackii
Arthroleptis krokosua
Lophura erythrophthalma
Glaucostegus thouin
Cremastosperma brachypodum
Chomelia ulei
Coussarea tricephala
Geissanthus dentatus
Geissanthus haenkeanus
Geissanthus peruvianus
Miconia longisepala
Miconia sulcata
Myrsine microdonta
Psychotria diminuta
Psychotria weberbaueri
